basketball small sports ball person person small person small person small person small person small person small person person small person slategray;two men playing basketball under a blue sky
paddlewheel small person bench slategray;Person jumping into the water
bobsled person big person big train lightslategray bright;a person helping a small baby down a blue slide
picket_fence coral_fungus person gray;A woman in a head wrap is standing behind a tree and some beautiful white flowers
swing big person small person gray;There is a little blond hair girl with a green sweatshirt and a red shirt playing on a playground
parachute small person small surfboard dimgray;A man surfing on a big green wave
big person bed gray;A girl dressed in orange flies in the air while jumping on the bed
person small cow person sheep small cow small bird gray;Two children playing around farm animals
jinrikisha person person big person small handbag small person person backpack small person gray;A man holds a sign offering to trade a poem for a Giants ticket
person small person small person small skateboard small skateboard small skateboard gray;Man skateboarding off of a ramp
promontory breakwater small bird small bird small bird small bird lightslategray;Seagulls abandon their rock as a wave crashes against it
golden_retriever big dog gray;White dog at the edge of the water
volleyball person person gray;Two boys
paddlewheel small person bench slategray;The boy jumps into the water off of a dock
theater_curtain barn skateboard person indianred;A girl s hair flips up while she rides down the stairs on a skateboard
rugby_ball big person big person small sports ball person gray;Two children playing tag football
hair_spray cellular_telephone big person small cup small cell phone big person small cup person gray;Two girls holding drinks and looking at something on a cellphone
unicycle big person small bottle big bench dimgray;A man sits on a bench
dogsled Saluki big dog gray bright;A dog running through the snow with what appears to be a chunk of wood in its mouth
German_shepherd kelpie big dog gray;Black dog on grass
swing big person small person gray;A young boy poses for a picture in front of a playground
snowmobile ski person small surfboard dimgray;A person in a black wetsuit is surfing in the ocean with a wave coming down
paddlewheel small person bench slategray;A man jumps off of a dock and into the water
bannister person handbag gray;An elderly lady in a yellow raincoat is sitting by a white building
African_hunting_dog boxer big dog gray;A brown dog runs outdoors
big person small person small person person small person small person small person person small person person small person small umbrella gray;Two boys wrestling in the sand while a man looks on
Bouvier_des_Flandres Tibetan_terrier big dog gray;Fluffy grey dog running in a field
horizontal_bar unicycle big person gray;A woman dangles from a blue fabric connected to a tree
lumbermill big person big person person car person handbag car backpack person small kite small car gray;A group of six men stand in a circle playing instruments in a wooded parking lot
dogsled Saluki big dog gray bright;A white dog in the snow running with an object in its mouth
big person small person small person person small person small person small person person small person person small person small umbrella gray;Two kids wrestle as a man observes
picket_fence coral_fungus person gray;A woman wearing a headscarf is near many tulips
rugby_ball big person big person small sports ball person gray;Two little boys play football on green grass
crutch big person chair person small bowl person bed baseball bat lightslategray;A boy in dark blue clothes is kneeling while holding a toy
volleyball big person big person small sports ball slategray bright;two female volleyball players try to hit the ball
dog gray;Yellow dog is running up a trail
Shetland_sheepdog Border_collie collie big dog gray;A dog jumping over a hurdle
crutch big person chair person small bowl person bed baseball bat lightslategray;A boy playing with toys in a bedroom
German_shepherd kelpie big dog gray;Black dog with tan markings wearing a blue collar standing on green grass
small person person small person person person person person big truck person person big bus person person person person person small person dimgray;A crowd of people in knit hats standing near a van
picket_fence coral_fungus person gray;A woman in a headscarf stands by a garden of white flowers
big person person person small person small person small truck gray;Man dressed in leather chaps and purple shirt stands in front of onlookers
German_shepherd kelpie big dog gray;A black dog running in the grass
dog gray;The brown dog is walking along the dirt path with beautiful mountains behind him
big person big dining table chair wine glass chair small cake cup dimgray;A girl wearing a halter top eats cake at a table
mountain_bike fountain unicycle small person person small person bicycle gray;A person in a red shirt doing tricks on a bicycle
volleyball person person gray;A little boy is running on the round playing with a little girl
soccer_ball maze person small bench small bench small bench gray;A young girl is walking up a steep grassy hill
swing big person small person gray;A baby girl playing at a park
bicycle-built-for-two mountain_bike big bicycle person small person small person small person small person small person small person small person small bicycle small handbag small person small person small person small bicycle small car gray;A man on a red bicycle rides past several pedestrians
Walker_hound dog dog dimgray;Two dogs in water with one retrieving a stick
big person big person gray dark;A little girl touches the face of an adult woman
big person big person small tie gray;A man and women
cloak big person dimgray;A dark haired lady with a big smile is wearing a bright red scarf
bannister person handbag gray;Elderly woman in yellow parka pan handling
Scottish_deerhound Irish_wolfhound dog dog gray;A dog chasing a deer in a field of yellow flowers
Airedale big person handbag person dog gray;a woman with a brown dog is talking to a toddler who is sat on the ground
paddle big person slategray;A man wearing a red life jacked is holding a purple rope while waterskiing
hair_spray cellular_telephone big person small cup small cell phone big person small cup person gray;Two young girls huddle to look at a cellphone
bicycle-built-for-two mountain_bike big bicycle person small person small person small person small person small person small person small person small bicycle small handbag small person small person small person small bicycle small car gray;A man with something orange on his helmet riding a bike in a busy setting
big person big person gray dark;A young girl approaches an adult on a brick walkway
person small cow person sheep small cow small bird gray;Two kids playing in a yard with some farm animals
big person bed gray;A little girl in an orange striped outfit is airborne whilst bouncing on a bed
big person person person small person small person small truck gray;There is a man in a purple shirt
dog person big truck big boat gray;A man looking at his small white dog wearing an orange life jacket
Airedale big person handbag person dog gray;A woman in a red top and a small dog talks to a young girl
beagle person small person small sports ball small sports ball dimgray;Two girls playing catch on a lawn
beagle German_shepherd big dog potted plant small sports ball potted plant gray;The dog jumps up waiting to catch something being thrown
ski skis person gray;A child is wearing a blue hat and snowsuit with red skis on their feet
African_hunting_dog boxer big dog gray;Dog running in yard
Scottish_deerhound Irish_wolfhound dog dog gray;A dog chases a deer on a field with yellow flowers
beagle person small person small sports ball small sports ball dimgray;The woman in yellow is throwing the football to the woman in brown
jersey big person cup person person person person person darkgray;This woman is wearing a white tshirt and holding a cup
person small person small person small person small person small person kite small person small person small person small handbag small person lightslategray;An Asian girl performs a routine with two red flags in a square
parachute small person small surfboard dimgray;A person is surfing a big wave
paddle big person slategray;A man wearing swimming trunks is waterskiing backwards using only one hand
small person person small person person person person person big truck person person big bus person person person person person small person dimgray;A group of people are gathered together
otter beaver dog gray;A dog is swimming across the water biting onto a stick
ski person backpack gray bright;A mountain hiker is digging steaks into the thck snow
picket_fence coral_fungus person gray;A woman in a white headscarf sits near white flowers
rugby_ball big person person small person small car small car small frisbee small car small person small car small truck small car small car small car small car small car small car small car dimgray dark;Two men are running side by side in a field
soccer_ball maze person small bench small bench small bench gray;A little blonde girl going up a hill
ski person small backpack gray dark;A hiker passes a white rock formation in the middle of an empty desert
redbone Doberman big dog small sports ball slategray;a small dog with a blue color fetching a yellow ball
mountain_bike fountain unicycle small person person small person bicycle gray;a person flips on a bike
Scottish_deerhound Irish_wolfhound dog gray bright;A black dog jumping through high snow
small person person small person person person person person big truck person person big bus person person person person person small person dimgray;A group of people gather around a truck
paddlewheel small person bench slategray;A person jumping off a dock into water
ski person backpack gray bright;A man kneels in the snow
American_Staffordshire_terrier Staffordshire_bullterrier big dog peru bright;A black and white dog is running on sand
dog gray;A brown dog runs towards the camera on a dirt trail with mountains in the background
Scottish_deerhound Irish_wolfhound dog gray bright;A black dog jumps out of a pile of thick white snow
volleyball person person gray;a young boy running after a young girl on a beach
silky_terrier big dog small sports ball dimgray;a small shaggy dog plays with a red ball on the grass
whippet dog dog small sports ball gray;Dog leaps high for yellow ball as another dog waits below on grass
golden_retriever big dog gray;A white dog with long hair wades through a pond surrounded by green grass
dogsled Saluki big dog gray bright;A white dog runs over a snowy field or lawn
ballplayer big person small chair small baseball glove small person small chair small chair small person small person gray;A baseball player standing on the mound
silky_terrier big dog small sports ball dimgray;A dog jumps to catch a red ball outside
big person big dining table chair wine glass chair small cake cup dimgray;A young girl sits at a table and eats
big person big person gray dark;A child dressed in purple and an adult dressed in black
Walker_hound dog dog dimgray;A tan dog and a black dog with stick in mouth walking in water
theater_curtain barn skateboard person indianred;A skateboarder s hair flies through the air
soccer_ball big person big person teddy bear person suitcase small handbag gray;Two pilots walk along carrying a young girl with a bandaged head
lumbermill big person big person person car person handbag car backpack person small kite small car gray;A group of people playing instruments in the woods
Scottish_deerhound Irish_wolfhound dog gray bright;The black dog is gliding down through the snow
big person gray;A man with a dark brown shirt is climbing up a rocky elevation
big person backpack backpack small cell phone gray;A man in a blue shirt hikes through a nature trail
theater_curtain barn skateboard person indianred;A girl with her hair flying up from her head poses on a skateboard
academic_gown person person big person big person person person person person person small handbag small handbag small person small book small backpack small book gray;A group of students walk together
bannister person gray;a man performs a large jump
bicycle-built-for-two mountain_bike big bicycle person small person small person small person small person small person small person small person small bicycle small handbag small person small person small person small bicycle small car gray;a biker rides down the street
golden_retriever big dog gray;A tan dog swims around in the water
big person big person small tie gray;A nicely dressed woman and bearded man in a small room
hair_spray cellular_telephone big person small cup small cell phone big person small cup person gray;Two teen girls are looking at a small electronic device while wearing winter coats
mountain_bike person big person bicycle bicycle dimgray;A man in red on a dirt bike struggles up a rock while another man in red watches
otter beaver dog gray;A dog is swimming in the water with a stick in his mouth
Airedale big person handbag person dog gray;A woman showing a small dog to an infant
mountain_bike person big person bicycle bicycle dimgray;A man is looking on as another man attempts to climb a small boulder with his dirt bike
dog person big truck big boat gray;a shite dog in an orange life vest looking at a man in a blue shirt while riding in a boat
person small person small person small person small person small person kite small person small person small person small handbag small person lightslategray;Two people work with long ribbons in a Chinese courtyard
Scottish_deerhound Irish_wolfhound dog gray bright;a black and white dog jumping through the snow
silky_terrier big dog small sports ball dimgray;A Yorkie trying to catch a red toy
jersey big person cup person person person person person darkgray;A lady holds a beverage
big person small person small person person small person small person small person person small person person small person small umbrella gray;Two young boys wrestle in the sand while a man watches
person small cow person sheep small cow small bird gray;Two children play in a yard with farm animals
Scottish_deerhound Irish_wolfhound dog dog gray;A dog chasing a deer in a field with yellow flowers
canoe speedboat paddle small person boat olivedrab;A man sits in a rowboat alone on foggy water
mountain_bike fountain unicycle small person person small person bicycle gray;A boy wearing a red shirt and jeans is doing a flip on his bike
paddlewheel small person bench slategray;The person wearing shorts and a shirt is jumping off a dock
German_shepherd kelpie big dog gray;A dog sniffs the grass
groom gown big person big person gray;Two girls crouch in a small stall
ski skis person gray;A small child in a blue hat and coat skis on the snow
ski person small backpack gray dark;A man with a backpack looks upon white objects on the ground
cloak big person dimgray;A woman wearing a red scarf is standing on a hill by a winding road
patio small person small person small person small person gray;Four guys are posed on a stone platform
soccer_ball big person big person teddy bear person suitcase small handbag gray;Two men in blue jumpsuits
horizontal_bar unicycle big person gray;Woman hangs on tree limb
bicycle-built-for-two mountain_bike big bicycle person small person small person small person small person small person small person small person small bicycle small handbag small person small person small person small bicycle small car gray;A biker is racing to keep up with the runners
rugby_ball big person person small person small car small car small frisbee small car small person small car small truck small car small car small car small car small car small car small car dimgray dark;Two men run across a field near a parking lot
big person big person small tie gray;A smiling man leaning to his right stands behind a smiling woman leaning to her left
silky_terrier big dog small sports ball dimgray;The dog jumps up to catch the red ball
academic_gown person person big person big person person person person person person small handbag small handbag small person small book small backpack small book gray;Several young women walk near blossoming cherry trees
soccer_ball big person big person teddy bear person suitcase small handbag gray;Men in blue uniforms holding little girl with bandaged face and stuffed animal
rugby_ball big person big person small sports ball person gray;One kid is running across a field carrying a football while another is close behind grabbing for his flags
beagle German_shepherd big dog potted plant small sports ball potted plant gray;The black and white dog is attempting to catch a ball in the garden
big person big dining table chair wine glass chair small cake cup dimgray;a little girl holds up her plate
snowmobile ski person small surfboard dimgray;A woman in a black wetsuit surfs in bad weather
big person big person gray;Two identically dressed young children jump outside
Scottish_deerhound Great_Dane big dog gray bright;a black dog runs across the snow
swing big person small person gray;A closeup of a child on a playground with adult supervision
Scottish_deerhound Great_Dane big dog gray bright;A black dog with a blue collar is running in the snow
snowmobile ski person small surfboard dimgray;A surfer in all black is riding a wave
big person person person small person small person small truck gray;A man wearing a purple shirt and black leather chaps poses for the camera
beagle German_shepherd big dog potted plant small sports ball potted plant gray;A black and white dog is playing with a ball on a lawn
horse_cart person person gray;Old man and woman in jackets facing each other
mountain_bike person big person bicycle bicycle dimgray;A dirt biker pushes his motorcycle up a rock while another rider watches
Airedale big person handbag person dog gray;A woman crouches down next to her terrier dog to smile at a little girl sitting on the sidewalk
dogsled Saluki big dog gray bright;A white dog with a purple necklace on plays in the snow
dog person big truck big boat gray;A dog in a life jacket sitting on a boat with a man in the cockpit
golden_retriever big dog gray;A blonde puppy wearing a red collar is standing in the water
crutch big person chair person small bowl person bed baseball bat lightslategray;A boy plays in his bedroom with an air powered rocket
big person gray;A man is on his back in a rocky cave
big person big person gray;Twins in orange shirts jumping on a trampoline
person small cow person sheep small cow small bird gray;Two children playing in a fenced in grassy area with farm animals
person small cow person sheep small cow small bird gray;The children in the scene are in a petting zoo and are acting like a duck or chicken
promontory breakwater small bird small bird small bird small bird lightslategray;Seagulls are flying above the crashing waves
swing big person small person gray;A young girl is smiling in front of the camera at a park
bannister person handbag gray;A man in a yellow slicker holds a sign saying  down and out
bannister person gray;A person in a blue jacket jumps off of a tan cement wall
basketball small sports ball person person small person small person small person small person small person small person person small person slategray;Basketball player makes a shot as other players to try to intercept
horse_cart person person gray;A man and a woman are standing in front of a building
snowmobile ski person small surfboard dimgray;A person is surfing
soccer_ball maze person small bench small bench small bench gray;The child in the green shirt is running up the hill with a picnic table behind her
Bouvier_des_Flandres Tibetan_terrier big dog gray;A grey shaggy dog running
groom gown big person big person gray;Two women in a bathroom stall
tricycle barrow lawn_mower big person bicycle big potted plant dimgray;A little girl in pink in running through a sprinkler
rugby_ball big person big person small sports ball person gray;One kid is chasing another kid who is holding a football
whippet dog dog small sports ball gray;Two dogs play with a ball in a field
American_Staffordshire_terrier Staffordshire_bullterrier big dog peru bright;A black and white dog runs across the red dirt
redbone Doberman big dog small sports ball slategray;A puppy playing with a ball
canoe speedboat paddle small person boat olivedrab;A man in his boat on the lake
maypole person big person small tie tie person person small tie person person small tie small tie small person umbrella small person person person gray;Members of a fraternal organization in a graveyard
promontory breakwater small bird small bird small bird small bird lightslategray;Waves crashing against rocks with seagulls flying over
volleyball big person big person small sports ball slategray bright;Two woman playing beach volleyball
big person big person small tie gray;A dark haired bearded man in a white dress shirt and black sweater and a woman in a black and white dress in a small space
kimono ocarina big person big person person person person person person person big person small cup person person gray;A group of women  one serious
jinrikisha person person big person small handbag small person person backpack small person gray;A man holds a sign offering to trade a poem for a football ticket
African_hunting_dog boxer big dog gray;A brindle do runs through a grassy yard
patio small person small person small person small person gray;Four guys in front of a abandoned building trying to make a letter with their bodies
ski skis person gray;a young skier looks at the camera
person small person small person small skateboard small skateboard small skateboard gray;a skateboarder is performing stunt on a graffiti covered skateboard ramp
big person small person small person person small person small person small person person small person person small person small umbrella gray;Two young boys wrestling while an adult male looks on
crutch big person chair person small bowl person bed baseball bat lightslategray;A boy plays with some toys in the house with a blue chair in the background
big person person person small person small person small truck gray;A man dressed in a purple shirt and red bandanna smiles at the people watching him
African_hunting_dog boxer big dog gray;A grayhound dog is sprinting
maypole person big person small tie tie person person small tie person person small tie small tie small person umbrella small person person person gray;Men in uniform take part in a ceremony with flags
rugby_ball big person person small person small car small car small frisbee small car small person small car small truck small car small car small car small car small car small car small car dimgray dark;two teenagers playing ultimate Frisbee
ballplayer big person small chair small baseball glove small person small chair small chair small person small person gray;A baseball is recoiling from an action taken on a treated field watched by others
Walker_hound dog dog dimgray;The black dog win the fetching contest as it returns from the water
otter beaver dog gray;A dog swimming with a stick in its mouth
rugby_ball big person person small person small car small car small frisbee small car small person small car small truck small car small car small car small car small car small car small car dimgray dark;The boys dressed in athletic wear perform exercises on the grass
big person big person gray;Two girls with orange shirts
big person gray;A man is climbing a rocky mountain
Scottish_deerhound Great_Dane big dog gray bright;A black dog running through the snow
Shetland_sheepdog Border_collie collie big dog gray;A furry dog is jumping over a hurdle
academic_gown person person big person big person person person person person person small handbag small handbag small person small book small backpack small book gray;A group of students dressed in sweatshirts and jackets head towards the right
soccer_ball big person big person teddy bear person suitcase small handbag gray;Two first responders carrying an injured girl
Scottish_deerhound Irish_wolfhound dog dog gray;A dog chases a deer into the woods
Shetland_sheepdog Border_collie collie big dog gray;A dog in a competition jumps over a hurdle
lumbermill big person big person person car person handbag car backpack person small kite small car gray;A group of friends play instruments in the middle of the woods
mountain_bike fountain unicycle small person person small person bicycle gray;A person is show upside down on his bicycle over a large field
silky_terrier big dog small sports ball dimgray;little dog is jumping up to catch a red ball in its mouth
redbone Doberman big dog small sports ball slategray;A brown dog is playing ball in a yard
Scottish_deerhound Irish_wolfhound dog gray bright;A black dog jumps down a snowy hill
tricycle barrow lawn_mower big person bicycle big potted plant dimgray;A little girl wearing a pink dress is running across the grass
jinrikisha person person big person small handbag small person person backpack small person gray;A man in a grey shirt and backpack is offering poems for a Giants ticket
volleyball person person gray;Two small children running on a beach
bicycle-built-for-two mountain_bike big bicycle person small person small person small person small person small person small person small person small bicycle small handbag small person small person small person small bicycle small car gray;Man rides on bicycle as other people walk
jersey big person cup person person person person person darkgray;An attractive brunette woman smiles and holds a beverage in front of her
dog person big truck big boat gray;A white dog with a life vest accompanies a man in a boat
bobsled person big person big train lightslategray bright;A man in a black shirt is holding a child wearing sunglasses
mountain_bike fountain unicycle small person person small person bicycle gray;A person flipping a bicycle upside down
dog person big truck big boat gray;A white dog in a life jacket looks at a man in a boat
